appid,name,description,price,release_date,developer,publisher,tags
1486410,Forsaken Champions,"Forsaken Champions is a one-of-a-kind blend of ARPG and CRPG. Freedom is yours, build, adapt and complete your campaigns then play them to your liking ! Embark in your heroic adventures to live with your friends, however beware of the mood of the adventure master !",N/A,Coming soon,N/A,,"Adventure, RPG, Strategy"
1486430,约会模拟器：原型,《约会模拟器：原型》是一款基于文字的情感模拟游戏，玩家需要分析游戏文本内容并做出判断、采取行动，最终迎来属于自己的结局。,₹ 42,"24 Dec, 2020",W,W,Simulation
1486440,Graze Counter GM,A refreshing and highly re-playable bullet hell style shooter that WANTS you to play dangerously! Ride the razor's edge of life and death in this high-risk high-reward danger oriented arcade style shooting game.,₹ 345,"18 Jan, 2023",Bikkuri Software,Henteko Doujin,"Action, Casual"
1486460,RPG Maker VX Ace - PASTEL,PASTEL is a fantastic brush of musical colour sure to add depth and beauty to your game soundtracks!,₹ 880,"3 Dec, 2020",ayato sound create,KOMODO,"Design & Illustration, Web Publishing"
1486470,RPG Maker MV - PASTEL,PASTEL is a fantastic brush of musical colour sure to add depth and beauty to your game soundtracks!,₹ 880,"3 Dec, 2020",ayato sound create,KOMODO,"Design & Illustration, Web Publishing"
1486471,RPG Maker MV - Krachware User Interface Material FANTASY,Everyone loves spending time in a perfectly generated fantasy world.,"₹ 1,100","3 Dec, 2020",Gee-kun-soft,KOMODO,"Design & Illustration, Web Publishing"
1486480,RPG Maker MZ - PASTEL,PASTEL is a fantastic brush of musical colour sure to add depth and beauty to your game soundtracks!,₹ 880,"3 Dec, 2020",ayato sound create,KOMODO,"RPG, Design & Illustration, Web Publishing"
1486490,RPG Maker MZ - Krachware User Interface Material FANTASY,Everyone loves spending time in a perfectly generated fantasy world!,"₹ 1,100","3 Dec, 2020",Gee-kun-soft,KOMODO,"RPG, Design & Illustration, Web Publishing"
1486500,Visual Novel Maker - PASTEL,PASTEL is a fantastic brush of musical colour sure to add depth and beauty to your game soundtracks!,₹ 880,"3 Dec, 2020",ayato sound create,KOMODO,Web Publishing
1486520,Mermaid Adventures: The Magic Pearl,"Join Alice and her friend, Crabby the crab, as they track down Sprutto and the Magic Pearl in this charming Match 3+Hidden objects game.",₹ 120,"16 Dec, 2020",First Games Interactive,First Games Interactive,"Casual, Indie"
1486540,VR Skydiving,"Welcome to our spaceship! You can choose different landscape scenes on the Earth, including mountains, deserts, and Gobi deserts etc. By pressing the touchpad and the trigger of the left controller for selection. Using the touchpad of your right controller for movement.",₹ 219,"11 Dec, 2020",William at Oxford,William at Oxford,Casual
1486560,Bus Simulator 21 Next Stop - USA Skin Pack,This collection of 10 unique paint jobs opens the door to a land of unlimited visual opportunities while you drive the streets of Angel Shores and Seaside Valley.,₹ 116,"7 Sep, 2021",stillalive studios,astragon Entertainment,Simulation
1486570,Bus Simulator 21 Next Stop - Angel Shores Insider Skin Pack,"This collection of 10 unique paint jobs lets you represent the new USA map &quot;Angel Shores&quot;, as well as its sights and secret spots, while you drive the streets of Angel Shores and Seaside Valley.",₹ 116,"7 Sep, 2021",stillalive studios,astragon Entertainment,Simulation
1486580,Bus Simulator 21 Next Stop - IVECO BUS Bus Pack,This Bus Simulator 21 Next Stop – Bus Pack includes three new buses licensed from renowned manufacturer IVECO BUS!,₹ 329,"29 Mar, 2022",stillalive studios,astragon Entertainment,Simulation
1486590,Bus Simulator 21 Next Stop - VDL Bus Pack,Get ready to enjoy the latest Bus Simulator 21 Next Stop expansion pack and expand your bus fleet with three new fancy buses!  This Bus Simulator 21 – Bus Pack includes three new buses licensed from renowned manufacturer VDL Bus &amp; Coach! ,₹ 329,"23 Jun, 2022",stillalive studios,astragon Entertainment,Simulation
1486600,Contract Killer Simulator - Mafia Edition,Basing on true story try to recreate historical assassinations on the most notorious gangsters from prohibition period of twenties in the USA. Feel the original and reconstituted in smallest details scenery from those times.,N/A,Coming soon,NPC Games,NPC Games,"Action, Adventure, Simulation"
1486620,Live Inc.,Live Inc. is an online 2vs2 heist game where two opposing players play in a cat and mouse scenario and their team members play as overseers of the map. Teams can use unique mechanics to interact with the map and must work together to outsmart their opponent.,N/A,"29 Jan, 2021",Maestro Games,Maestro Games,"Action, Indie"
1486660,Dragon VR,"See the dragon at arm's length, ride on its back, feel the speed of the flight and hear the flapping of dragon’s wings! All these sensations can become real in Dragon VR game.",N/A,"1 May, 2021",Anvio,Anvio,"Action, Adventure, Casual, Free To Play, Indie, Simulation"
1486670,Shadow Lost,What dark and twisted things are happening in the strange town?,₹ 699,"16 Dec, 2020",Limitcore studio,Limitcore studio,Action
1486690,Flower in the Snow - Resurrection,"What is going to be acted before you is——Blossom in the shackles, but deep down in your bone, suspension and romantic.",₹ 177,"19 Dec, 2020",Rainbow Flute Studio,NVLMaker,Indie
1486710,A Total War Saga: TROY - Ajax & Diomedes,"Jump into the fray as two of the most iconic heroes of the age, Ajax &amp; Diomedes, with their unique armies, mighty Paragon units, and new methods to conquer Troy.",₹ 450,"2 Sep, 2021",CREATIVE ASSEMBLY,SEGA,"Action, Simulation, Strategy"
1486720,HandsON,HandsON is a unique experience in virtual reality that you don't want to miss out on! Let this magical world of hands and dance amaze you and immerse yourself in an interactive surreal world you have never seen before.,₹ 329,"1 Mar, 2021",Another Kind of Blue,Another Kind of Blue,"Adventure, Casual"
1486730,Ragdoll Racers,Once upon a time there was a group of children with free time to play. Ragdoll Racers is the best game about RC cars dragging toys around the neighborhood!,N/A,To be announced,Rumbora,Rumbora,"Indie, Racing"
1486750,传奇世界之仗剑天涯H5,《传奇世界之仗剑天涯H5》荣耀版资料片燃爆来袭，不再是广告，多倍升级万倍伤害天天攻沙，流水线挂机刷怪，高画质更流畅，酷炫拽技能免费抽，极炫外观任意搭，震撼视觉狂战氛围，快来觉醒传世魂，轻狂热血续青春！,N/A,"15 Dec, 2020",蝴蝶互动信息技术有限公司,蝴蝶互动信息技术有限公司,"Casual, Free To Play, Massively Multiplayer, RPG"
1486770,The Button Witch Soundtrack,20 magic tracks to keep you company while studying or working!,₹ 165,"27 Dec, 2020",DDreams Games,DDreams Games,
1486780,The Button Witch - Art and Guide Book,"Full walkthrough, secrets and beautiful artwork!",₹ 219,"27 Dec, 2020",DDreams Games,,"Adventure, Indie"
1486790,Portal Mortal,"Portal Mortal is a hardcore 2D puzzle platformer spiced with blood and guts! Explore unique environments, face challenging obstacles and get creative. Play alone or have fun online with up to 32 friends and build your own levels together!",₹ 250,"1 Apr, 2022",Coil Games,Coil Games,"Adventure, Indie"
1486800,Chess Knights: High Noon,In Chess Knights: High Noon you are one of the deadliest gunslinger of the Old West. Use your instincts and fast trigger skills to hunt and kill all the Wanted Ones. Do it for fame or simply for a fistful of dollars.,₹ 155,"15 Dec, 2020",Minimol Games,Minimol Games,"Casual, Strategy"
1486810,Firesoul,"Answer the prayers of lost souls, exorcise dark spirits and solve puzzles to uncover the mystery of a forgotten island.",N/A,Coming soon,Michael Miles,Michael Miles,Adventure
1486830,CRSED: Cuisine Royale - Holy Beast Pack,This pack includes:Clyde &quot;Dozen&quot; Mullican hero unlock;Priest suit;100 Golden Crowns.,₹ 399,"3 Dec, 2020",Darkflow Software,Gaijin Network Ltd,"Action, Massively Multiplayer, Free To Play"
1486831,CRSED: Cuisine Royale - Holy Maiden Pack,This pack includes:Annie &quot;Pin-up&quot; Ashley hero unlock;Battle Nun suit;100 Golden Crowns.,₹ 399,"3 Dec, 2020",Darkflow Software,Gaijin Network Ltd,"Action, Massively Multiplayer, Free To Play"
1486832,CRSED: Cuisine Royale - Age of Nagual Pack,This pack includes:Itz Ocelotl hero unlock;Aztec High Priest suit;Royal Macuahuitl;300 Golden Crowns.,₹ 699,"3 Dec, 2020",Darkflow Software,Gaijin Network Ltd,"Action, Massively Multiplayer, Free To Play"
1486833,CRSED: Cuisine Royale - God of Thunder Pack,Includes:Erik &quot;Torden&quot; Thorson hero unlock;Viking Berserker Suit (While you are wearing this suit in battle every T3 helm that you equip will look like Viking Helmet);Berserker's Hammer;700 Golden Crowns.,₹ 799,"3 Dec, 2020",Darkflow Software,Gaijin Network Ltd,"Action, Massively Multiplayer, Free To Play"
1486834,CRSED: Cuisine Royale - Biker Queen Pack,This pack includes:Valentine 'Viper' Chase hero unlock;Biker Queen suit;Black glasses;700 Crowns.,₹ 799,"3 Dec, 2020",Darkflow Software,Gaijin Network Ltd,"Action, Massively Multiplayer, Free To Play"
1486835,CRSED: Cuisine Royale - Metal Zombie pack,This pack includes:Louis &quot;Bokor&quot; Celine hero unlock;Metal zombie suit;Voodoo staff;700 Golden Crowns,₹ 799,"3 Dec, 2020",Darkflow Software,Gaijin Network Ltd,"Action, Massively Multiplayer, Free To Play"
1486836,CRSED: Cuisine Royale - Fire Dragon Pack,This pack includes:Sin &quot;Huli&quot; Yeou-bi hero unlock;&quot;Fire Dragon&quot; suit;Two handed japanese sword - odachi;700 Crowns.,₹ 799,"3 Dec, 2020",Darkflow Software,Gaijin Network Ltd,"Action, Massively Multiplayer, Free To Play"
1486840,SantaCraft,"Dig your way through snow, cut down gingerbread trees, and mine candy canes as you try to rescue your missing reindeer, rebuild Santa's Village, and save Christmas! In the latest FREE update: trains you can ride, new quests, new items, new puns, and more!",₹ 349,"15 Dec, 2020",Milkbag Games,Milkbag Games,"Adventure, Indie"
1486860,Penelope,Navigate and manipulate your dreams in this challenging puzzle. Rescue all of Penelope's stuffed animal friends before you run out of warm milk. Can you outwit the dastardly Emily Watterson and get back the toy she stole from you?,₹ 42,"15 Dec, 2020",Emanation,Emanation,Indie
1486870,Hiddenverse: Ominous Opus,"Hiddenverse: Ominous Opus is hidden object, match-3 storytelling adventure game about Avenlee - a young aspiring writer, who finds her friend buried in the sewers. The tragic accident is quickly revealed to be a cover-up for a murder, and it’s up to you to solve the mystery.",₹ 345,"10 Dec, 2020",Shaman Games Studio,HH-Games,"Adventure, Casual, Indie"
1486890,Mini Slide - Animal Race,"Mini Slide is a demo of Slide Animal Race; Play together with your friends in this couch multiplayer racing game with cute sliding animals. Dive and jump to avoid obstacles, use bonuses and master the sliding mechanics on the crazy tracks to outrun the horde!",N/A,"30 Dec, 2020",Oneiric Worlds,Oneiric Worlds,Racing
1486900,18 ЕСТЬ?,Симулятор ларька,N/A,Coming soon,Mother Russia Games,Kavkaz Sila Games,Simulation
1486910,Console Simulator,Enjoy a cinematic 30 fps experience,N/A,Coming soon,30 fps Entertainment,Kavkaz Sila Games,Simulation
1486950,The Underground Man 2,"We at MEHSOFT are proud to present a sequel to our very first game The Underground Man. This game is a pleasure for the fans of classic video games. Experience a mix of different genres such as beat 'em up, point-and-click, platformer, and many more in a thrilling post-apocalyptic adventure.",₹ 155,"29 Sep, 2022",Mehsoft,Mehsoft,"Action, Adventure, Indie"
1486970,PetDrivr,"Drive with your pet over the town, collecting pet snacks, and their favorite toys before reaching your destination. Get help from your friends to find the exact location of the toy in the cooperative mode, or challenge them to find out who can collect more snacks!",₹ 199,"24 Dec, 2020",Ludact,Ludact,"Casual, Indie, Racing, Simulation"
1486980,Ghost's Timepeices,"&quot;There is no Meanings of Time for Ghosts.&quot; A new world of ghost and human. A Mysterious Traveler leap the time, travel through the world, solve the puzzle, and chasing the Past...",N/A,Coming soon,Zero Xilo,Zero Xilo,"Action, Indie, RPG, Early Access"
1486990,Rubber,Roll as far as possible. Destroy as much as possible. Realistic physics and a procedurally generated worlds filled with bonuses and destructible obstacles are ready to challenge your Tire rolling skills!,N/A,Coming soon,Rubber Games,Rubber Games,"Action, Casual, Indie, Massively Multiplayer, Racing, Simulation"
1487000,PLASTIC BLUE [lofi beats to study and sleep to],Listen to lofi beats while you do cool and important things. Build your own toy collection on the breaks.,N/A,To be announced,surikovdanya,surikovdanya,Casual
1487030,Cygnus Pizza Race,"Compete against the galaxy’s finest pizza delivery wannabes in this high-speed thrill ride! Challenge your friendships and sabotage your friends in two-person, head-to-head local races that put your piloting skills to the test in . . . The Cygnus Pizza Race!",₹ 350,"11 Feb, 2021",Longplay Games,Indie Imprint,"Casual, Indie, Racing, Sports"
1487060,Locksmith Simulator,"Become a local hero! Fix doors, open locks and help damsels in distress.",N/A,Coming soon,Live Motion Games,Live Motion Games,Simulation
1487070,Troy: The malware fight Soundtrack,The Official Soundtrack for Troy: The Malware Fight.,₹ 42,"3 Dec, 2020",Kristapsmadeapp,Kristapsmadeapp,
1487080,DressMaker,This app lets you make a one-piece (texture) of a 3D avatar made with ‘’Cecil HenShin App” and ”VRoid Studio”. Import VRM and dress up!,₹ 349,"26 Mar, 2021",Suzuki Cecil,"Dream Factory Co., Ltd.","Casual, Animation & Modeling, Design & Illustration, Game Development"
1487090,iVRy for SteamVR (GearVR/Oculus App Installer),Use your Samsung GearVR or Oculus Mobile headset as a VR Headset for your PC. Lets you run SteamVR &amp; Oculus Rift PC VR titles using your GearVR/Oculus Mobile headset.,N/A,"31 Dec, 2020",Mediator Software,Mediator Software,Utilities
1487091,iVRy for SteamVR (Android/Daydream App Installer),Use your Android Mobile Device or Daydream Mobile headset as a VR Headset for your PC. Lets you run SteamVR &amp; Oculus Rift PC VR titles using your PSVR headset.,N/A,"9 Jun, 2022",Mediator Software,Mediator Software,Utilities
1487100,Lost to Time,"Lost to Time is a time-pause focused 2D action platforming metroidvania game, with a carefully crafted world to explore in an non-traditional fantasy RPG fashion. In order to overcome insurmountable odds, Chrona must manipulate the flow of time in order to gain advantages over opponents.",₹ 349,"11 Feb, 2021",Ephemeral Glades Software,Ephemeral Glades Software,"Action, Adventure, Indie, RPG"
1487120,Monkey Doomsday,"Welcome to a world where the entire human population of earth is undergoing a massive de evolution process! The human race has de evolved back into monkeys and are causing an apocalyptic mayhem over the entire earth, and It's only up to you to end this terrorizing madness!",₹ 105,"10 Dec, 2021",SUPREME GAUNTLET GAMES,SUPREME GAUNTLET GAMES,"Action, Adventure, Casual, Indie"
1487140,Ochitsubaki,"OCHITSUBAKI is a bilingual JPN/ENG transgender fantasy visual novel with an experimental poetic storytelling structure, a retro anime aesthetic, and a lush original orchestral soundtrack",₹ 439,"17 Dec, 2021",FEYXUAN,FEYXUAN,"Indie, RPG"
1487160,Ultimate Battle,"A game full of action and lots and lots of fun. Play numerous maps against your friends. Many modes: 1v1, 1v2, all against all.",₹ 125,"16 Dec, 2020",Matt Games,Matt Games,"Action, Indie"
1487180,Kekdot Center,Kekdot Center is a fun and challenging multiplayer obstacle/parkour game in which players will have to find their way to the finish. Players can take a short break in the Plaza where they can socialize with others in the form of text chat and voice chat.,N/A,Coming soon,Kekdot,Kekdot,"Action, Adventure, Casual, Indie, Early Access"
1487190,Neverfix Station,"Frenetic multiplayer couch co-op game about fixing train’s railroad. Get resources, build materials and fix the railroad! Don't spare any time and cooperate with your teammates to repair the railroad before any train arrives.",N/A,To be announced,Ignita Games - Legacy,Ignita Games - Legacy,"Action, Casual, Indie, Simulation"
1487210,Super Mega Baseball™ 4,Super Mega Baseball™ 4 is where the Legends play. The signature combo of arcade-inspired style and immersive gameplay returns with over 200 baseball Legends and a grand slam of presentation upgrades.,$9.99,"Jun 2, 2023",Metalhead Software Inc.,Electronic Arts,"Simulation, Sports"
1487220,Carrot&Islands™,"The small town of Fangbox Island, originally a quiet and peaceful small town, the town is square, the buildings are square, even people and tricky animals are square... Only the sky and their only crop, carrots, are not square. of……",N/A,Coming soon,CarrotStudio,CarrotStudio,"Action, Adventure, Casual, Indie, Simulation"
1487230,FutureKreate,"This Robot Simulator is a cutting-edge robot simulator developed by a robotics researcher. You can experience the state-of-arts robotics development with this simulator. Experiment with your robot in the town, mountains, oceans, and the skies at various times!","₹ 1,899","13 Apr, 2021",D.K.T. ltd,D.K.T. ltd,"Adventure, Indie, Simulation, Early Access"
1487240,Romanticized Dreams of a Post-Apocalyptic Cowpoke,"Romanticized Dreams of a Post-Apocalyptic Cowpoke is a top down action shooter with randomly generated loot, levels, and enemies. Find unique weapons and upgrades to blast, explode, laser, and kick your way through an army of dastardly bandits!",₹ 345,"29 May, 2024",Apex Wolf Studios,Apex Wolf Studios,"Action, Indie"
1487260,The Tower Of TigerQiuQiu Ninja Eta,"AboutYou find that there are many stones on the mountain that can be used. Push the stone down and hit your ninja on the head. Very useful, quickly eliminate them, exclusive treasure.",₹ 155,"27 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1487270,Last Command,"Last Command is a fast-paced Snake x Bullet Hell action game. Maneuver through enemies’ barrage of attacks, collect Data Points to deal damage! Mix and match skill chips as you progress, overcome intense Boss battles, and uncover the secrets of their program world...",₹ 459,"25 Oct, 2022",CreSpirit,CreSpirit,"Action, Indie, RPG"
1487280,Zombies Wars,&quot;Zombies Wars&quot; is a shooting game.The terrifying zombie shooter game immerses players into places infested with horrifying zombies.,₹ 105,"4 Dec, 2023",CggtGroup,CggtGroup,"Action, Adventure, Indie"
1487300,Follow My Steps,Lead and protect a mother wolf and her pup seeking a new shelter. Use your magic to explore a dreamlike open world through numerous environments. Make the right choices to take care and educate your cub. Survive together and try to escape from the Midnight Pack…,N/A,Coming soon,Midnight Games EIRL,Midnight Games EIRL,"Action, Adventure, Indie, RPG"
1487310,Beyond Eden: Dear Edward Soundtrack,It's the official soundtrack of Beyond Eden: Dear Edward. Enjoy the 19 tracks all remastered in elaborate detail!,₹ 199,"29 Jan, 2021",Studio Pieplus,,
1487320,Astro Sentai Jarbonder,It's a bullet-hell spaceship shooter. Can you survive the battlefield? Let's prove your shooting skills!,N/A,"14 Dec, 2020",ipei_retland,ipei_retland,"Action, Free To Play, Indie"
1487360,dstnce.,"this is your game, it is what you make of it.",₹ 85,"15 Dec, 2020",daniel coady.,daniel coady.,"Adventure, Indie"
1487380,Chora,&quot;Chora&quot; is Virtual Reality Zombie FPS Game. The world has returned to the age of Apocalypse due to the zombie virus outbreak. You are a survivor in 'Daejeon' which is Science city in korea. Beat the zombies and Turn on the 'Core-tan' and end the zombie apocalypse.,N/A,Coming soon,Toz,Toz,"Action, Indie"
1487390,ANVIL,Take on the role of a Vault Breaker in search of alien artifacts called “Vaults” and fight against monsters and powerful bosses. You can strengthen your Breakers to explore far-away galaxies that no one has ever reached!,₹ 569,"26 Jul, 2023",ACTION SQUARE,ACTION SQUARE,Action
1487420,Wilhelm Gustloff's Death,It is World War 2 and you are aboard the MV Wilhelm Gustloff which has just been struck with 3 torpedo strikes. You will relive the MV Wilhelm Gustloff's final moments in this atmospheric simulation.,₹ 165,"29 Jan, 2021",Interactive Gaming Studios,Interactive Gaming Studios,"Adventure, Casual, Indie, Simulation"
1487430,Muse:Night Out,This is a game that unlocks girls by play paper scissor rock like games.,₹ 155,"13 Apr, 2021",Gemini Stars Games,Happy Max,Casual
1487440,Live Labyrinth,"A living maze is drawn during its passage, and only at the end of the path do you understand what it wants to tell you",₹ 42,"24 Feb, 2021",DIGITAL ART TEAM,DIGITAL ART TEAM,"Action, Adventure, Casual, Indie, Strategy"
1487450,迷禁 Lost in Abyss,Lost in Abyss is a first-person VR horror game about a man trapped in a twisted and terrifying dream. Warm memories and terrible realities are intertwined and tragedy unfolds as you explore a long-forgotten nightmare.,₹ 439,"11 Nov, 2021",宇极VR胆小鬼,宇极VR胆小鬼,"Adventure, Indie, Simulation"
1487460,Battle Bears 1: Zombies,"The very first Battle Bears game ever now on PC! Relive the Huggables, Campy Weapons, Crazy Bosses and Funny Cutscenes. Your childhood nostalgia is back in full force!",₹ 125,"28 Dec, 2020",SkyVu,SkyVu,"Action, Adventure, Indie"
1487470,秋田・男鹿ミステリー案内 凍える銀鈴花,"The second retro-style travel mystery adventure! This game is a suspense command ADV set in Akita's Oga region in Japan.The character designer is a manga artist Kiyokazu Arai, following his previous work &quot;Iseshima Mystery Annai&quot;.",₹ 529,"14 Jan, 2021",Happymeal Inc.,Flyhigh Works,Adventure
1487480,Koi Land,"&quot;Koi Land&quot; is a highly relaxing idle game. Purchase various types of koi fry, raise them over time, and sell them to earn money! Unlock multiple varieties of koi, listen to soothing music, and enjoy the sight of colorful koi as they accompany you through pleasant times!",N/A,Coming soon,GG.Game,GG.Game,"Casual, Indie, Simulation"
1487490,蘭島物語：少女的約定 復刻版 EXTRA,請謹慎考慮購入，本DLC不包含任何遊戲內容,"₹ 1,159","1 Mar, 2021",CIRCLE Ent.,CIRCLE Ent.,"Indie, Simulation, Strategy"
1487500,Summon&Fusion-女武神的回忆,Stories of female warrior gods from different worlds,N/A,"4 Dec, 2020",Philosophy♂,BVRgames,"Casual, Indie, RPG, Simulation, Strategy"
1487510,Monster Prom 2: Monster Camp Soundtrack,The Official Soundtrack for Monster Camp captures the game’s beautiful chaotic energy.,₹ 219,"22 Dec, 2020",Beautiful Glitch,,
1487520,蘑菇的冒险 MoGu's Adventure,A pixel-style platform jumping game,N/A,"26 Feb, 2021",LaoMaoGame,LaoMaoGame,"Adventure, Casual, Indie"
1487530,Monster Camp Character Pack - New Blood,We all love the original color crew. But it’s time to spice things up… by bringing you 4 new options for playable characters.,₹ 165,"22 Dec, 2020",Beautiful Glitch,,"Indie, Simulation"
1487540,The Great Ace Attorney Chronicles - Additional Art & Music from the Vaults,"Early purchasers will also receive the &quot;From the Vault&quot; bonus content, featuring an additional 25 pieces of art and 29 music tracks that you can enjoy at any time from within the game.",N/A,Jul 2021,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Adventure
1487560,StarCrawlers Chimera,"StarCrawlers Chimera is a first-person, turn-based, cyberpunk RPG. Customize your character skills and dive into the Chimera complex to find the elusive Dr. Cerberus. Are you a stealthy cyberninja? A crazed pyromaniac soldier? Mind-bending void psyker? Or... a bit of all of them?",₹ 529,"13 May, 2024",Juggernaut Games,Juggernaut Games,"Adventure, Indie, RPG"
1487570,Far North Survival,FAR NORTH SURVIVAL is an open-world survival game set in the unique setting of a vast ice-bound area beyond the Arctic Circle.,N/A,Coming soon,FrogVille Games,FrogVille Games,Simulation
1487590,Yoshiwara Higanbana,"--Whether I end up after falling in love, in your arms or in a scarlet prison? It's up to you to make my vow of higanbana fall or wither-- Even if it's only for one night, I want to be held by you...","₹ 3,300","6 May, 2021",MariaCrown,Beijing Happy Entertainment Technology,"Adventure, RPG"
1487610,ISLAND MIRRORGE VR,"“ISLAND MIRRORGE” is a dark fantasy VR content which takes place in the tunnels of Sado Gold Mine, a historical heritage site in Japan.",N/A,"4 Feb, 2021",TYFFON INC.,TYFFON INC.,Education
1487630,Tracks of Thought,"Welcome aboard! A bad case of forgetfulness plagues the passengers - embark on a journey of self-discovery shaped by your own personality. As a lost ladybug, talk to everyone on board and uncover the train’s secret destination in a wholesome, card-based, talk-'em-up RPG!",₹ 880,"8 Jun, 2024",Tidbits Play,indie.io,"Adventure, Casual, Indie, RPG, Simulation"
1487640,16-Bit Soccer,Do you love those soccer games on consoles &amp; home computers from the 90s?,₹ 199,"7 Jan, 2021",Sprakelsoft GmbH,Sprakelsoft GmbH,Sports
1487650,VR Plant Journey,"In this virtual reality adventure, you'll explore the inner workings of a canola plant from root to flower. What does canola need to thrive optimally? Learn about the processes in the plant cells, playfully help it grow and become an excellent plant scientist.",₹ 199,"19 Jun, 2021",Simmation,Breakpoint One GmbH,"Casual, Indie, Simulation"
1487670,Army of Tentacles: (Not) A Cthulhu Dating Sim 2: SDCC 2023 Exclusive Army Units,Adds new army units!,₹ 155,"29 May, 2023",Stegalosaurus Game Development,Stegalosaurus Game Development,"Adventure, Casual, Indie, RPG, Strategy"
1487680,Broken Universe - Tower Defense,"Get ready to rethink all your defense strategies! Build barricades to stop monsters, or lure them into a maze and attack. A variety of stages that change each time depending on how you play them.",₹ 449,"4 Feb, 2023",Jinthree Studio,Jinthree Studio,"Casual, Indie, Strategy"
1487710,Rite of Titans,"Rite of Titans is a Free to Play hero-centric 3v3 action game - currently in the alpha stage. Master the moves and outplay your rivals in an epic, fast-paced hybrid of arcade sports and ability-based competition. See you in the arena!",N/A,Coming soon,Apella Games,Apella Games,"Action, Sports, Free To Play, Early Access"
1487730,Carperation,"A racing game with item and unique ability for each vehicle. Items or ability to win: boost yourself, interrupt your opponents or attack them! Hong Kong styled vehicles: taxi, rickshaw, three-wheeled ice cream bike, etc. Support split-screen and controller: suitable for partying",₹ 969,"21 Dec, 2020",Vastudio,Vastudio,"Casual, Indie, Racing"
1487740,Mobile Soldiers: Plastic Army,"Get ready to embark on a thrilling journey down memory lane, with Mobile Soldiers: Plastic Army, bringing the beloved childhood table-top game to life in a new 3D experience that fits in your pocket. Brace yourself for fun that combines nostalgia with the excitement of mobile gaming!",₹ 345,"13 Aug, 2022",Ecliptec Mobile Ltd.,Ecliptec Mobile Ltd.,"Indie, Strategy"
1487750,SPACE ALPHA,"Fight in single - or multiplayer mode with other players and or AI, in this fast paced sci-fi shooter.",₹ 379,"6 Aug, 2021",Space Alpha,Space Alpha,"Action, Indie, Early Access"
1487760,Polter Guest,A spoopy Point and Click adventure brimming with hand drawn visuals!,N/A,Coming soon,Save Point B,Save Point B ,Adventure
1487770,Propagation VR - Co-op,Need a bit of moral support to battle zombies and other nightmarish creatures ? Live the Propagation VR experience in cooperation with a friend (or a friendly stranger)!,₹ 349,"5 Feb, 2021",WanadevStudio,WanadevStudio,Action
1487790,Tikrace,"Parkour, cyberpunk, neon are what you get in the Tikrace. Run for your life and set new time records on various maps.",N/A,Coming soon,Egor Magurin,Indovers Studio,"Action, Indie"
1487800,Little Hats,"Experience a fairy tale world through the eyes of a gnome! Survive and explore a rich open world. Find a way out of the forest and into the lowlands! While crafting items, building houses, sneaking past humans, avoiding trolls, riding animals, and much more!",₹ 880,"30 Sep, 2021",Tim Venekamp,Tim Venekamp,"Adventure, RPG, Early Access"
1487840,Chess Destroyer,Do you love chess and want to play it with some new rules but the same moves? Then this game is for you!,₹ 105,"21 Dec, 2020",AbsoluteZero LLC,AbsoluteZero LLC,"Casual, Indie, Strategy"
1487860,Toxik aim trainer,"Curious now? Go ahead and try it yourself! Download the game and improve yourself, but don't think you will improve on the spot: it takes a long time to see results!",₹ 85,"26 Dec, 2020",REO Studios,REO Studios,"Action, Casual, Sports"
1487870,Putin kills: Christmas,Ho! Ho! Ho! Merry Christmas and Happy New Year!,₹ 52,"15 Mar, 2021",CSM,W. T. B.,"Action, Casual, Indie"
1487900,Beastie Land,Rob the hidden treasure with your beastie abilities and escape without getting caught!,₹ 339,"27 Feb, 2022",Johnny Ginard,Johnny Ginard,"Action, Casual, Indie"
1487940,Nuumonsters,Welcome to the wonderful world of Nuumonsters!,₹ 459,"18 Feb, 2021",Yanako RPGs,Yanako RPGs,"Adventure, Casual, Indie, RPG, Early Access"
1487970,Velarune,Explore a seamless and colorful world while being hunted by a cosmic wolf in this beautiful third-person adventure game. Uncover the scarred past of Velarune by solving puzzles and collecting relics. Discover the secrets of this secluded land before time runs out…,N/A,To be announced,Peacock Games,Peacock Games,"Adventure, Casual, Indie"
1487990,Relax Memory Game,"Relax Memory Game-find a pair Game, more than 30 levels, with a choice of difficulty, a time limit that is added by guessing pairs and a limited number. The game develops your memory and attentiveness.",₹ 52,"16 Dec, 2020",HotFoodGames,kovalevviktor,"Casual, Indie"
1488000,Zone Of War,"Crashed in a parallel planet make your way through the diverse array of enemies already at war! Rival your opponents with your superior intellect. Solve problems, tackle difficult situations, cause havoc to get home, &amp; most of all have fun with your friends or replay the story for hidden content.",₹ 219,"23 Mar, 2022",Adem Ottoman,Adem and Elias,"Action, Adventure, Casual, Strategy, Early Access"
1488050,Beyond The Diorama: Caribou World,"In partnership with the Natural History Museum of Los Angeles County, USC students harnessed emerging technology to create immersive experiences to illustrate how the climate crisis is affecting habitats across the world.",N/A,"19 Jan, 2021",Jovrnalism,Jovrnalism,Free To Play
